,,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
0,1,Jeff McNeil,2,148,533,73,174,39,1,9,62,40,61,4,0,.326
1,2,Freddie Freeman,10,159,612,117,199,47,2,21,100,84,102,13,3,.325
2,3,Joey Meneses,0,56,222,33,72,14,0,13,34,15,52,1,0,.324
3,4,Paul Goldschmidt,9,151,561,106,178,41,0,35,115,79,141,7,0,.317
4,5,Luis Arraez,1,144,547,88,173,31,1,8,49,50,43,4,4,.316
5,6,Aaron Judge,6,157,570,133,177,28,0,62,131,111,175,16,3,.311
6,7,Xander Bogaerts,10,150,557,84,171,38,0,15,73,57,118,8,2,.307
7,8,Yordan Alvarez,2,135,470,95,144,29,2,37,97,78,106,1,1,.306
8,9,Jose Abreu,6,157,601,85,183,40,0,15,75,62,110,0,0,.304
9, ,Andrew Benintendi,4,126,461,54,140,23,3,5,51,52,77,8,3,.304
10,11,Nathaniel Lowe,0,157,593,74,179,26,3,27,76,48,147,2,2,.302
11,12,Tim Anderson,4,79,332,50,100,13,0,6,25,14,55,13,0,.301
12, ,Yonathan Daza,0,113,372,56,112,21,2,2,34,26,58,0,3,.301
13,14,Jose Altuve,9,141,527,103,158,39,0,28,57,66,87,18,1,.300
14, ,Harold Ramirez,0,120,403,46,121,24,0,6,58,19,72,3,5,.300
15,16,Manny Machado,7,150,578,100,172,37,1,32,102,63,133,9,1,.298
16, ,Trea Turner,8,160,652,101,194,39,4,21,100,45,131,27,3,.298
17, ,Steven Kwan,0,147,563,89,168,25,7,6,52,62,60,19,5,.298
18,19,Andres Gimenez,0,146,491,66,146,26,3,17,69,34,112,20,3,.297
19, ,Michael Harris II,0,114,414,75,123,27,3,19,64,21,107,20,2,.297
20,21,Yandy Diaz,3,137,473,71,140,33,0,9,57,78,60,3,3,.296
21, ,Oscar Gonzalez,0,91,362,39,107,27,0,11,43,15,75,1,2,.296
22,23,Rafael Devers,3,141,555,84,164,42,1,27,88,50,114,3,1,.295
23, ,Eloy Jimenez,1,84,292,40,86,12,0,16,54,28,72,0,0,.295
24, ,Vinnie Pasquantino,0,72,258,25,76,10,0,10,26,35,34,1,0,.295
25,26,Nolan Arenado,7,148,557,73,163,42,1,30,103,52,72,5,3,.293
26,27,Jose Iglesias,8,118,439,48,128,30,0,3,47,17,56,2,3,.292
27, ,Starling Marte,8,118,466,76,136,24,5,16,63,26,97,18,9,.292
28,29,Carlos Correa,6,136,522,70,152,24,1,22,64,61,121,0,1,.291
29, ,Lourdes Gurriel Jr.,0,121,453,52,132,32,1,5,52,31,83,3,4,.291
30,31,Bo Bichette,1,159,652,91,189,43,1,24,93,41,155,13,8,.290
31,32,Michael Brantley,0,64,243,28,70,14,1,5,26,31,30,1,1,.288
32,33,Bryce Harper,8,99,370,63,106,28,1,18,65,46,87,11,4,.286
33, ,Christian Arroyo,3,87,280,32,80,16,1,6,36,13,49,5,1,.286
34,35,Gio Urshela,5,144,501,61,143,27,3,13,64,41,96,1,0,.285
35, ,Alejandro Kirk,0,139,470,59,134,19,0,14,63,63,58,0,0,.285
36,37,Donovan Solano,6,80,278,22,79,16,0,4,24,19,61,0,0,.284
37, ,Luis Robert,0,98,380,54,108,18,0,12,56,17,77,11,3,.284
38, ,Julio Rodriguez,0,132,511,84,145,25,3,28,75,40,145,25,7,.284
39,40,Mike Trout,8,119,438,85,124,28,2,40,80,54,139,1,0,.283
40, ,Amed Rosario,3,153,637,86,180,26,9,11,71,25,111,18,4,.283
41, ,Jake McCarthy,0,99,321,53,91,16,3,8,43,23,76,23,3,.283
42,43,Taylor Ward,0,135,495,73,139,22,2,23,65,60,120,5,3,.281
43, ,Nico Hoerner,0,135,481,60,135,22,5,10,55,28,57,20,2,.281
44, ,Brendan Donovan,0,126,391,64,110,21,1,5,45,60,70,2,3,.281
45,46,Jose Ramirez,7,157,601,90,168,44,5,29,126,69,82,20,7,.280
46, ,Alex Verdugo,3,152,593,75,166,39,1,11,74,42,86,1,3,.280
47, ,Alec Bohm,0,152,586,79,164,24,3,13,72,31,110,2,3,.280
48,49,Justin Turner,0,128,468,61,130,36,0,13,81,50,89,3,0,.278
49, ,William Contreras,0,97,334,51,93,14,1,20,45,39,104,2,0,.278
50,1,Jeff McNeil,2,148,533,73,174,39,1,9,62,40,61,4,0,.326
51,2,Freddie Freeman,10,159,612,117,199,47,2,21,100,84,102,13,3,.325
52,3,Joey Meneses,0,56,222,33,72,14,0,13,34,15,52,1,0,.324
53,4,Paul Goldschmidt,9,151,561,106,178,41,0,35,115,79,141,7,0,.317
54,5,Luis Arraez,1,144,547,88,173,31,1,8,49,50,43,4,4,.316
55,6,Aaron Judge,6,157,570,133,177,28,0,62,131,111,175,16,3,.311
56,7,Xander Bogaerts,10,150,557,84,171,38,0,15,73,57,118,8,2,.307
57,8,Yordan Alvarez,2,135,470,95,144,29,2,37,97,78,106,1,1,.306
58,9,Jose Abreu,6,157,601,85,183,40,0,15,75,62,110,0,0,.304
59, ,Andrew Benintendi,4,126,461,54,140,23,3,5,51,52,77,8,3,.304
60,11,Nathaniel Lowe,0,157,593,74,179,26,3,27,76,48,147,2,2,.302
61,12,Tim Anderson,4,79,332,50,100,13,0,6,25,14,55,13,0,.301
62, ,Yonathan Daza,0,113,372,56,112,21,2,2,34,26,58,0,3,.301
63,14,Jose Altuve,9,141,527,103,158,39,0,28,57,66,87,18,1,.300
64, ,Harold Ramirez,0,120,403,46,121,24,0,6,58,19,72,3,5,.300
65,16,Manny Machado,7,150,578,100,172,37,1,32,102,63,133,9,1,.298
66, ,Trea Turner,8,160,652,101,194,39,4,21,100,45,131,27,3,.298
67, ,Steven Kwan,0,147,563,89,168,25,7,6,52,62,60,19,5,.298
68,19,Andres Gimenez,0,146,491,66,146,26,3,17,69,34,112,20,3,.297
69, ,Michael Harris II,0,114,414,75,123,27,3,19,64,21,107,20,2,.297
70,21,Yandy Diaz,3,137,473,71,140,33,0,9,57,78,60,3,3,.296
71, ,Oscar Gonzalez,0,91,362,39,107,27,0,11,43,15,75,1,2,.296
72,23,Rafael Devers,3,141,555,84,164,42,1,27,88,50,114,3,1,.295
73, ,Eloy Jimenez,1,84,292,40,86,12,0,16,54,28,72,0,0,.295
74, ,Vinnie Pasquantino,0,72,258,25,76,10,0,10,26,35,34,1,0,.295
75,26,Nolan Arenado,7,148,557,73,163,42,1,30,103,52,72,5,3,.293
76,27,Jose Iglesias,8,118,439,48,128,30,0,3,47,17,56,2,3,.292
77, ,Starling Marte,8,118,466,76,136,24,5,16,63,26,97,18,9,.292
78,29,Carlos Correa,6,136,522,70,152,24,1,22,64,61,121,0,1,.291
79, ,Lourdes Gurriel Jr.,0,121,453,52,132,32,1,5,52,31,83,3,4,.291
80,31,Bo Bichette,1,159,652,91,189,43,1,24,93,41,155,13,8,.290
81,32,Michael Brantley,0,64,243,28,70,14,1,5,26,31,30,1,1,.288
82,33,Bryce Harper,8,99,370,63,106,28,1,18,65,46,87,11,4,.286
83, ,Christian Arroyo,3,87,280,32,80,16,1,6,36,13,49,5,1,.286
