"","show_name_data_one","total_watch_duration_data_one"
"1","the-real-housewives-of-beverly-hills",28244773
"2","vanderpump-rules",26367236
"3","the-real-housewives-of-atlanta",13360724
"4","top-chef",11414898
"5","ladies-of-london",9416209
"6","el-chema",8402090
"7","suits",7372437
"8","summer-house",7331527
"9","themagicians",7035837
"10","married-to-medicine",6684749
"11","shooter0",5723403
"12","girlfriends-guide-to-divorce",5309248
"13","timber-creek-lodge",5107806
"14","watch-what-happens-live-0",4032268
"15","bad-girls-club",3853019
"16","la-doña",3821580
"17","incorporated",3788046
"18","chrisleyknowsbest",3622926
"19","faceoff",3587600
"20","the-royals",3544835
"21","last-chance-kitchen",3397970
"22","revenge-body-with-khloe-kardashian",3162784
"23","colony",3026878
"24","mrrobot",2666744
"25","imposters",2614128
"26","theexpanse",2401205
"27","married-to-medicine-houston",1478269
"28","million-dollar-listing-los-angeles",1277882
"29","mujeres-ambiciosas",1274477
"30","la-fan",1249643
"31","aftermath",1236611
"32","caso-cerrado",1195133
"33","mariahs-world",1106663
"34","total-divas",1091170
"35","killjoys",927528
"36","eyewitness",885000
"37","tormenta-de-pasiones",753784
"38","amar-es-primavera",690428
"39","first-family-of-hip-hop",674647
"40","vanhelsing",600642
"41","paranormalwitness",600387
"42","rob-and-chyna",561779
"43","silvana-sin-lana",504082
"44","ncis",503277
"45","the-arrangement",480714
"46","ncislosangeles",473958
"47","channelzero",471330
"48","keeping-up-with-the-kardashians",454479
"49","snapped",446586
"50","so-cosmo",437036
"51","richkids-of-beverly-hills",390288
"52","hunters",311044
"53","lawordersvu",300267
"54","csi",288436
"55","wags-miami",287097
"56","dont-be-tardy",281105
"57","motive",280817
"58","eric-and-jessie-game-on",278064
"59","wags",241424
"60","botched",240736
"61","catching-kelce",240484
"62","moviesonusa",200772
"63","fallingwater",199034
"64","watch-what-happens-live",169561
"65","fashion-police",159684
"66","southern-charm",157196
"67","znation",151765
"68","wynonnaearp",144999
"69","married-to-jonas",140447
"70","playinghouse",135405
"71","below-deck",127596
"72","famously-single",118930
"73","suelta-la-sopa",107418
"74","captainamericathefirstavenger",105708
"75","it-takes-a-killer",100713
"76","siempre-niños",100095
"77","hollywood-and-football",98411
"78","just-jillian",97644
"79","house-of-dvf",96500
"80","botched-by-nature",93575
"81","imperio",92004
"82","las-verdaderas-mujeres-asesinas",91308
"83","don-francisco-te-invita",85900
"84","ej-nyc",85716
"85","royalpains",85639
"86","the-battle-of-the-ex-besties",82992
"87","syfymovies",76869
"88","burnnotice",71143
"89","sweet-home-oklahoma",64273
"90","house",57454
"91","whitecollar",55316
"92","decisiones-extremas",47887
"93","the-real-housewives-of-new-york-city",47816
"94","the-rachel-maddow-show",46163
"95","reportajes",43674
"96","morning-joe",37221
"97","the-real-housewives-of-potomac",35430
"98","más-sabe-el-diablo",35323
"99","firstimpressionswithdanacarvey",25440
"100","hardball-with-chris-matthews",24847
"101","theinternetruinedmylife",23978
"102","the-riveras",23202
"103","am-joy",20164
"104","all-in-with-chris-hayes",17254
"105","enfoque",16592
"106","the-last-word-with-lawrence-odonnell",15915
"107","el-capo",15231
"108","last-squad-standing",14393
"109","cosplaymelee",12980
"110","sos-salva-mi-casa",11931
"111","ninas-world",11252
"112","friday-night-tykes",10480
"113","the-11th-hour-with-brian-williams",10189
"114","mtp-daily",9433
"115","i-love-jenni",6918
"116","three-days-to-live",6761
"117","premier-league",5176
"118","the-good-night-show",5063
"119","el-show-de-chica",2961
"120","going-off-the-menu",2892
"121","ruff-ruff-tweet-and-dave",2794
"122","content-caso-cerrado",2658
"123","face-off",2594
"124","for-the-record-with-greta",2504
"125","noodle-y-doodle",2143
"126","jungle-bunch",1609
"127","caillou",1513
"128","politicsnation-with-al-sharpton",1513
"129","below-deck-mediterranean",1507
"130","chiquis-n-control",1297
"131","homicide-for-the-holidays",1111
"132","especiales",1106
"133","boxeo-telemundo",1066
"134","super-wings",983
"135","sarah-and-duck",914
"136","doozers",687
"137","floogals",668
"138","isaac-takes-on",621
"139","best-bars-in-america",538
"140","terrific-trucks",466
"141","lilys-driftwood-bay",431
"142","hollywood-medium-with-tyler-henry",417
"143","going-deep-with-david-rees",415
"144","berenstain-bears",322
"145","furchester-hotel",201
"146","larrymania",116
"147",NA,NA
