"","show_name_data_two","total_watch_duration_data_two"
"1","the-real-housewives-of-beverly-hills",27010594
"2","vanderpump-rules",25590729
"3","the-real-housewives-of-atlanta",13047358
"4","top-chef",10282137
"5","el-chema",8825285
"6","ladies-of-london",8009656
"7","themagicians",7462981
"8","summer-house",7448100
"9","suits",7066627
"10","bad-girls-club",5808591
"11","married-to-medicine",5738796
"12","shooter0",4753300
"13","girlfriends-guide-to-divorce",4692386
"14","timber-creek-lodge",4414384
"15","la-doña",4284848
"16","watch-what-happens-live-0",4275608
"17","chrisleyknowsbest",3985134
"18","imposters",3628303
"19","faceoff",3542663
"20","the-royals",3292432
"21","revenge-body-with-khloe-kardashian",3248828
"22","incorporated",3237748
"23","colony",2936347
"24","last-chance-kitchen",2862356
"25","theexpanse",2670649
"26","mrrobot",2623325
"27","keeping-up-with-the-kardashians",2012378
"28","the-arrangement",1512664
"29","mujeres-ambiciosas",1447287
"30","la-fan",1292458
"31","married-to-medicine-houston",1287032
"32","million-dollar-listing-los-angeles",1272349
"33","aftermath",1168767
"34","caso-cerrado",1160849
"35","total-divas",946618
"36","mariahs-world",926553
"37","amar-es-primavera",921071
"38","eyewitness",846445
"39","killjoys",719453
"40","first-family-of-hip-hop",702098
"41","so-cosmo",677584
"42","southern-charm",615123
"43","tormenta-de-pasiones",607628
"44","paranormalwitness",591075
"45","rob-and-chyna",573084
"46","vanhelsing",488557
"47","ncislosangeles",479138
"48","channelzero",478122
"49","snapped",471573
"50","silvana-sin-lana",461548
"51","richkids-of-beverly-hills",407006
"52","ncis",378210
"53","motive",330904
"54","the-rachel-maddow-show",324062
"55","hunters",302580
"56","eric-and-jessie-game-on",300377
"57","wags-miami",294854
"58","sweet-home-oklahoma",292310
"59","dont-be-tardy",266300
"60","the-real-housewives-of-new-york-city",262122
"61","lawordersvu",260175
"62","botched",253153
"63","the-battle-of-the-ex-besties",250909
"64","wags",235823
"65","csi",227268
"66","fallingwater",205518
"67","catching-kelce",185687
"68","moviesonusa",161443
"69","fashion-police",151988
"70","watch-what-happens-live",146173
"71","playinghouse",145909
"72","znation",145052
"73","morning-joe",144150
"74","suelta-la-sopa",138172
"75","married-to-jonas",135401
"76","siempre-niños",121692
"77","wynonnaearp",119475
"78","house-of-dvf",118560
"79","the-riveras",116896
"80","it-takes-a-killer",115396
"81","just-jillian",113944
"82","hollywood-and-football",111268
"83","whitecollar",110962
"84","royalpains",106189
"85","don-francisco-te-invita",104792
"86","famously-single",104284
"87","the-last-word-with-lawrence-odonnell",97206
"88","imperio",93684
"89","botched-by-nature",89511
"90","below-deck",86680
"91","all-in-with-chris-hayes",79796
"92","house",79731
"93","ej-nyc",77469
"94","hardball-with-chris-matthews",76225
"95","the-real-housewives-of-potomac",75846
"96","las-verdaderas-mujeres-asesinas",68644
"97","decisiones-extremas",59151
"98","burnnotice",54371
"99","am-joy",52605
"100","captainamericathefirstavenger",51640
"101","the-11th-hour-with-brian-williams",43632
"102","cosplaymelee",43175
"103","friday-night-tykes",40223
"104","mtp-daily",39546
"105","for-the-record-with-greta",39016
"106","reportajes",36456
"107","three-days-to-live",36181
"108","last-squad-standing",27391
"109","el-capo",27307
"110","syfymovies",24149
"111","enfoque",20380
"112","theinternetruinedmylife",20362
"113","más-sabe-el-diablo",18712
"114","i-love-jenni",18146
"115","firstimpressionswithdanacarvey",16725
"116","larrymania",15395
"117","sos-salva-mi-casa",13846
"118","ninas-world",12013
"119","politicsnation-with-al-sharpton",11149
"120","floogals",9268
"121","boxeo-telemundo",8711
"122","super-wings",8674
"123","chiquis-n-control",7799
"124","brew-dogs",7000
"125","caillou",6433
"126","lockup",5307
"127","uncorked",5192
"128","niño-santo",5185
"129","fiftyshadesofgrey0",4986
"130","isaac-takes-on",4954
"131","killer-couples",4904
"132","ruff-ruff-tweet-and-dave",4698
"133","berenstain-bears",4412
"134","noddy-toyland-detective",4371
"135","chica-show",3960
"136","terrific-trucks",3931
"137","going-off-the-menu",3568
"138","el-show-de-chica",3279
"139","hollywood-medium-with-tyler-henry",2630
"140","car-matchmaker",2610
"141","lucky-bastards",2590
"142","noodle-doodle",2523
"143","12-corazones",2445
"144","busytown-mysteries",2283
"145","boundless",2221
"146","especiales",2163
"147","sydney-sailboat",1875
"148","furchester-hotel",1475
"149","wwe",1461
"150","space-racers",1460
"151","astroblast",1388
"152","zerby-derby",1359
"153","noodle-y-doodle",1319
"154","knife-fight",1300
"155","the-next-great-burger",1292
"156","the-agent",1206
"157","dot",762
"158","clangers",631
"159","the-good-night-show",625
"160","sarah-and-duck",572
"161","la-frontera",569
"162","the-walking-dead",567
"163","the-pajanimals",421
"164","zou",340
"165","encarcelados",299
"166","maya-the-bee",261
"167","yaya-and-zouk",59
"168","jungle-bunch",33
"169",NA,NA
